4.878255	9.510048	14.141841	18.773634	23.233544	21.069056	17.333220	12.281651	10.842074	11.785823	12.729572
6.524759	11.156552	15.788345	20.420138	24.904894	23.537324	20.507025	16.084479	14.850314	15.794063	16.737812
8.171263	12.803056	17.434849	22.066642	26.576244	26.005592	23.680831	19.887308	18.858554	19.802303	20.746052
9.817767	14.449560	19.081353	23.713146	28.247594	28.473859	26.854636	23.690136	22.866794	23.810543	24.754292
11.464271	16.096064	20.727857	25.359650	29.918944	30.942127	30.028442	27.492965	26.875034	27.818783	28.762532
16.022298	19.868309	23.714319	27.560330	31.510359	35.880178	36.380900	36.681257	37.779776	39.383779	40.987781
22.922036	25.721554	28.521072	31.320590	34.251325	39.770666	44.180153	48.504028	51.976992	54.460310	56.943628
30.374382	32.323080	34.271779	36.220478	38.284493	43.970110	51.032050	60.030276	65.389574	68.587792	71.786011
38.237596	39.480961	40.724326	41.893945	43.159479	50.844047	59.857735	70.016492	78.218774	82.009649	85.800525
44.501142	45.435508	46.369874	47.304240	48.480920	58.271578	69.032859	80.606868	87.473759	91.524271	95.574783
48.923758	49.858124	50.792490	51.726856	52.920497	63.255190	74.498122	86.501547	93.508667	97.559179	101.609691
